can_bind_to_reverse_edge,category,country_isocode,edge_type,ends_with_crosswalk,ends_with_railroad_crossing,ends_with_toll_post,ends_with_traffic_light,geometry,has_masstransit_lane,is_in_poor_condition,is_paved,is_residential,is_restricted_for_trucks,is_toll,length,persistent_id,reverse_id,segments,speed_limit,struct_type,timezone,toponym,traffic_side
False,2,CD,NamedRoad,False,False,False,False,[[15.343098;-4.376648;];[15.343322;-4.376393;];[15.343442;-4.376226;];],False,False,True,False,False,False,60.400001525878906,5944253136919696581,,2,,Road,Africa/Kinshasa,Avenue By Pass,False
False,2,CD,NamedRoad,False,False,False,False,[[15.342811;-4.377051;];[15.343098;-4.376648;];],False,False,True,False,False,False,54.70000076293945,6657104995904405892,,1,,Road,Africa/Kinshasa,Avenue By Pass,False
False,2,CD,NamedRoad,False,False,False,False,[[15.342199;-4.378067;];[15.342553;-4.377462;];[15.342811;-4.377051;];],False,False,True,False,False,False,131.3000030517578,12660206134121791781,,2,,Road,Africa/Kinshasa,Avenue By Pass,False
False,2,CD,NamedRoad,False,False,False,False,[[15.341485;-4.379336;];[15.341661;-4.379008;];[15.341851;-4.378679;];[15.342069;-4.378309;];[15.342199;-4.378067;];],False,False,True,False,False,False,161.10000610351562,379717959921884963,,4,,Road,Africa/Kinshasa,Avenue By Pass,False
False,2,CD,NamedRoad,False,False,False,False,[[15.341337;-4.379597;];[15.341485;-4.379336;];],False,False,True,False,False,False,33.20000076293945,5561263087471181037,,1,,Road,Africa/Kinshasa,Avenue By Pass,False
False,2,CD,NamedRoad,False,False,False,False,[[15.340949;-4.380257;];[15.341155;-4.379894;];[15.341337;-4.379597;];],False,False,True,False,False,False,84.80000305175781,10803108483245826986,,2,,Road,Africa/Kinshasa,Avenue By Pass,False
False,2,CD,NamedRoad,False,False,False,False,[[15.347541;-4.377767;];[15.347566;-4.377789;];[15.347653;-4.377861;];],False,False,True,False,False,False,16.200000762939453,7629890242324095690,,2,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.347653;-4.377861;];[15.348067;-4.378272;];],False,False,True,False,False,False,64.5999984741211,7790997362752991873,,1,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.348115;-4.377611;];[15.347903;-4.376944;];],False,False,True,False,False,False,77.5,7802395238269410365,,1,,Road,Africa/Kinshasa,,False
False,3,CD,Junction,False,False,False,False,[[15.348115;-4.377611;];[15.348031;-4.377532;];[15.347990;-4.377500;];[15.347933;-4.377475;];[15.347856;-4.377467;];[15.347781;-4.377483;];[15.347714;-4.377523;];[15.347672;-4.377572;];[15.347642;-4.377636;];[15.347633;-4.377729;];[15.347653;-4.377861;];],False,False,True,False,False,False,91.3000030517578,17033107456441355950,,10,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.348384;-4.378401;];[15.348268;-4.378064;];[15.348115;-4.377611;];],False,False,True,False,False,False,92.4000015258789,10438261192975862119,,2,,Road,Africa/Kinshasa,,False
False,2,CD,NamedRoad,False,False,False,False,[[15.348616;-4.378833;];[15.348384;-4.378401;];],False,False,True,False,False,False,54.20000076293945,15228565441713549875,,1,,Road,Africa/Kinshasa,Boulevard Lumumba,False
False,2,CD,NamedRoad,False,False,False,False,[[15.348868;-4.379204;];[15.348789;-4.379087;];[15.348774;-4.379066;];[15.348616;-4.378833;];],False,False,True,False,False,False,49.70000076293945,9927671448216983014,,3,,Bridge,Africa/Kinshasa,Pont Matete,False
False,2,CD,NamedRoad,False,False,False,False,[[15.348886;-4.379230;];[15.348868;-4.379204;];],False,False,True,False,False,False,3.5,9664764907878072291,,1,,Road,Africa/Kinshasa,Boulevard Lumumba,False
False,2,CD,NamedRoad,False,False,False,False,[[15.350912;-4.381106;];[15.350520;-4.380846;];[15.350082;-4.380525;];[15.349682;-4.380173;];[15.349260;-4.379733;];[15.349042;-4.379453;];[15.348886;-4.379230;];],False,False,True,False,False,False,308.3999938964844,4244543824353448024,,6,,Road,Africa/Kinshasa,Boulevard Lumumba,False
False,2,CD,NamedRoad,False,False,False,False,[[15.351107;-4.381224;];[15.351050;-4.381191;];[15.350912;-4.381106;];],False,False,True,False,False,False,25.299999237060547,924798223894837094,,2,,Bridge,Africa/Kinshasa,Boulevard Lumumba,False
False,2,CD,NamedRoad,False,False,False,False,[[15.351539;-4.381467;];[15.351462;-4.381423;];[15.351107;-4.381224;];],False,False,True,False,False,False,54.900001525878906,1332830299042640398,,2,,Road,Africa/Kinshasa,Boulevard Lumumba,False
False,2,CD,NamedRoad,False,False,False,False,[[15.352333;-4.381887;];[15.352005;-4.381726;];[15.351816;-4.381620;];[15.351604;-4.381504;];[15.351539;-4.381467;];],False,False,True,False,False,False,99.6999969482422,10366574600393551216,,4,,Road,Africa/Kinshasa,Boulevard Lumumba,False
False,2,CD,NamedRoad,False,False,False,False,[[15.352644;-4.382028;];[15.352333;-4.381887;];],False,False,True,False,False,False,37.900001525878906,17340395334415674989,,1,,Bridge,Africa/Kinshasa,Pont Matete,False
False,2,CD,NamedRoad,False,False,False,False,[[15.352836;-4.382112;];[15.352644;-4.382028;];],False,False,True,False,False,False,23.299999237060547,11770049510164052163,,1,,Bridge,Africa/Kinshasa,Pont Matete,False
False,2,CD,NamedRoad,False,False,False,False,[[15.356385;-4.383432;];[15.355378;-4.383057;];[15.353890;-4.382526;];[15.352836;-4.382112;];],False,False,True,False,False,False,420.0,15437895896196846330,,3,,Road,Africa/Kinshasa,Boulevard Lumumba,False
False,3,CD,NamedRoad,False,False,False,False,[[15.356385;-4.383432;];[15.355946;-4.383158;];[15.355642;-4.383012;];[15.354684;-4.382573;];[15.354187;-4.382353;];[15.353709;-4.382107;];[15.353588;-4.382037;];[15.353453;-4.381941;];[15.353357;-4.381855;];],False,False,True,False,False,False,379.7999877929688,12481790083456423231,,8,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.353357;-4.381855;];[15.353225;-4.381734;];],False,False,True,False,False,False,19.799999237060547,10131560409846607067,,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351085;-4.366197;];[15.351183;-4.367196;];],False,False,True,False,False,False,111.0,6114340988585475026,12982809558493278647,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351085;-4.366197;];[15.351046;-4.365674;];],False,False,True,False,False,False,58.0,293794370229114169,10688336021470088994,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351183;-4.367196;];[15.351085;-4.366197;];],False,False,True,False,False,False,111.0,12982809558493278647,6114340988585475026,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351183;-4.367196;];[15.351253;-4.367869;];],False,False,True,False,False,False,74.80000305175781,13514481920474341842,12513401521307918106,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351253;-4.367869;];[15.351183;-4.367196;];],False,False,True,False,False,False,74.80000305175781,12513401521307918106,13514481920474341842,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351253;-4.367869;];[15.351381;-4.369013;];],False,False,True,False,False,False,127.3000030517578,12634348474377715641,362888619792781439,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351381;-4.369013;];[15.351253;-4.367869;];],False,False,True,False,False,False,127.3000030517578,362888619792781439,12634348474377715641,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351381;-4.369013;];[15.351408;-4.369291;];],False,False,True,False,False,False,30.899999618530277,6705928706170276096,6957139338881284497,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351408;-4.369291;];[15.351381;-4.369013;];],False,False,True,False,False,False,30.899999618530277,6957139338881284497,6705928706170276096,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351408;-4.369291;];[15.351502;-4.370294;];[15.351596;-4.371297;];],False,False,True,False,False,False,222.6000061035156,8892937461660861961,4773248826050436030,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351596;-4.371297;];[15.351502;-4.370294;];[15.351408;-4.369291;];],False,False,True,False,False,False,222.6000061035156,4773248826050436030,8892937461660861961,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351596;-4.371297;];[15.351661;-4.372115;];],False,False,True,False,False,False,90.8000030517578,13394891678297894945,9610574542778824755,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351661;-4.372115;];[15.351596;-4.371297;];],False,False,True,False,False,False,90.8000030517578,9610574542778824755,13394891678297894945,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351661;-4.372115;];[15.351750;-4.373002;];],False,False,True,False,False,False,98.5999984741211,4076179610264459284,15626076643294705835,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351750;-4.373002;];[15.351661;-4.372115;];],False,False,True,False,False,False,98.5999984741211,15626076643294705835,4076179610264459284,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351750;-4.373002;];[15.351886;-4.374368;];[15.352023;-4.375736;];[15.352125;-4.376951;];],False,False,True,False,False,False,438.7999877929688,9609605450675901084,7405955063003144341,3,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352125;-4.376951;];[15.352023;-4.375736;];[15.351886;-4.374368;];[15.351750;-4.373002;];],False,False,True,False,False,False,438.7999877929688,7405955063003144341,9609605450675901084,3,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352125;-4.376951;];[15.352206;-4.377722;];],False,False,True,False,False,False,85.69999694824219,11445291894361307119,17021147036036448690,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352206;-4.377722;];[15.352125;-4.376951;];],False,False,True,False,False,False,85.69999694824219,17021147036036448690,11445291894361307119,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352206;-4.377722;];[15.352325;-4.378851;];[15.352445;-4.379979;];],False,False,True,False,False,False,251.0,15912226965943013705,887463873499661127,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352445;-4.379979;];[15.352325;-4.378851;];[15.352206;-4.377722;];],False,False,True,False,False,False,251.0,887463873499661127,15912226965943013705,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352445;-4.379979;];[15.352456;-4.380116;];],False,False,True,False,False,False,15.199999809265137,3063045152488239902,4827742169054605718,1,,Bridge,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352456;-4.380116;];[15.352445;-4.379979;];],False,False,True,False,False,False,15.199999809265137,4827742169054605718,3063045152488239902,1,,Bridge,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352456;-4.380116;];[15.352468;-4.380283;];],False,False,True,False,False,False,18.5,14641340885254700044,6568465512960343760,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352468;-4.380283;];[15.352456;-4.380116;];],False,False,True,False,False,False,18.5,6568465512960343760,14641340885254700044,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352468;-4.380283;];[15.352476;-4.380595;];[15.352540;-4.381309;];[15.352592;-4.381698;];],False,False,True,False,False,False,157.1999969482422,8617030092486665068,,3,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352592;-4.381698;];[15.352601;-4.381799;];],False,False,True,False,False,False,11.300000190734863,10713217873475772659,,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.353183;-4.381689;];[15.352966;-4.381450;];],False,False,True,False,False,False,35.70000076293945,4397084172462218758,,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.353225;-4.381734;];[15.353183;-4.381689;];],False,False,True,False,False,False,6.800000190734863,11602076472692838534,,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352966;-4.381450;];[15.352840;-4.381278;];[15.352660;-4.380922;];[15.352612;-4.380812;];[15.352571;-4.380677;];[15.352536;-4.380537;];],False,False,True,False,False,False,112.5999984741211,2397868193968362203,,5,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.352536;-4.380537;];[15.352468;-4.380283;];],False,False,True,False,False,False,29.100000381469727,17409278263091849012,,1,,Road,Africa/Kinshasa,Poids Lourd,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351046;-4.365674;];[15.351085;-4.366197;];],False,False,True,False,False,False,58.0,10688336021470088994,293794370229114169,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.351046;-4.365674;];[15.350976;-4.364972;];[15.350846;-4.364023;];[15.350706;-4.363414;];],False,False,True,False,False,False,253.0,12524208816540373065,3979374088978727503,3,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350706;-4.363414;];[15.350846;-4.364023;];[15.350976;-4.364972;];[15.351046;-4.365674;];],False,False,True,False,False,False,253.0,3979374088978727503,12524208816540373065,3,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350706;-4.363414;];[15.350638;-4.363121;];[15.350467;-4.362518;];],False,False,True,False,False,False,102.5999984741211,4585622713546589116,4962890456392155437,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350467;-4.362518;];[15.350638;-4.363121;];[15.350706;-4.363414;];],False,False,True,False,False,False,102.5999984741211,4962890456392155437,4585622713546589116,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350467;-4.362518;];[15.350349;-4.362122;];],False,False,True,False,False,False,45.79999923706055,16290564505069355148,8025900635913975543,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350349;-4.362122;];[15.350467;-4.362518;];],False,False,True,False,False,False,45.79999923706055,8025900635913975543,16290564505069355148,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350349;-4.362122;];[15.350130;-4.361474;];],False,False,True,False,False,False,75.5999984741211,11160862828830285653,16958544175688741719,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350130;-4.361474;];[15.350349;-4.362122;];],False,False,True,False,False,False,75.5999984741211,16958544175688741719,11160862828830285653,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350130;-4.361474;];[15.350040;-4.361257;];],False,False,True,False,False,False,26.0,1957570782276460053,5218721540608259796,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350040;-4.361257;];[15.350130;-4.361474;];],False,False,True,False,False,False,26.0,5218721540608259796,1957570782276460053,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.350040;-4.361257;];[15.349964;-4.361058;];[15.349836;-4.360693;];],False,False,True,False,False,False,66.4000015258789,13590644470992267615,10868952787855412039,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.349836;-4.360693;];[15.349964;-4.361058;];[15.350040;-4.361257;];],False,False,True,False,False,False,66.4000015258789,10868952787855412039,13590644470992267615,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.349836;-4.360693;];[15.349612;-4.360136;];[15.349492;-4.359825;];[15.349272;-4.359222;];],False,False,True,False,False,False,174.3000030517578,17357742711027547119,2800415670290380614,3,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.349272;-4.359222;];[15.349492;-4.359825;];[15.349612;-4.360136;];[15.349836;-4.360693;];],False,False,True,False,False,False,174.3000030517578,2800415670290380614,17357742711027547119,3,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.349272;-4.359222;];[15.348934;-4.358330;];[15.348563;-4.357328;];],False,False,True,False,False,False,223.8000030517578,1004425851150633701,13604720784191555718,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.348563;-4.357328;];[15.348934;-4.358330;];[15.349272;-4.359222;];],False,False,True,False,False,False,223.8000030517578,13604720784191555718,1004425851150633701,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.348563;-4.357328;];[15.348292;-4.356601;];],False,False,True,False,False,False,85.80000305175781,17442872409711944706,12310952669123569755,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.348292;-4.356601;];[15.348563;-4.357328;];],False,False,True,False,False,False,85.80000305175781,12310952669123569755,17442872409711944706,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.348292;-4.356601;];[15.347673;-4.354959;];[15.347567;-4.354706;];],False,False,True,False,False,False,224.3999938964844,14490474448196251503,18326386442251043310,2,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.340676;-4.336423;];[15.341241;-4.337959;];],False,False,True,False,False,False,181.1000061035156,6710943971284361088,15643135370786506544,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.340676;-4.336423;];[15.340384;-4.335694;];],False,False,True,False,False,False,86.80000305175781,12250656738220665965,13208834937876517744,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.341241;-4.337959;];[15.340676;-4.336423;];],False,False,True,False,False,False,181.1000061035156,15643135370786506544,6710943971284361088,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.341241;-4.337959;];[15.341572;-4.338800;];],False,False,True,False,False,False,99.9000015258789,1822492832818209601,14305389994725626273,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.341572;-4.338800;];[15.341241;-4.337959;];],False,False,True,False,False,False,99.9000015258789,14305389994725626273,1822492832818209601,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.341572;-4.338800;];[15.341791;-4.339341;];],False,False,True,False,False,False,64.69999694824219,5458460775265328339,17825973351686814078,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.341791;-4.339341;];[15.341572;-4.338800;];],False,False,True,False,False,False,64.69999694824219,17825973351686814078,5458460775265328339,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.341791;-4.339341;];[15.342128;-4.340246;];],False,False,True,False,False,False,106.8000030517578,357060927470725722,2852403737930953979,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342128;-4.340246;];[15.341791;-4.339341;];],False,False,True,False,False,False,106.8000030517578,2852403737930953979,357060927470725722,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342128;-4.340246;];[15.342620;-4.341583;];],False,False,True,False,False,False,157.60000610351562,16331527708511559303,5360314641165666338,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342620;-4.341583;];[15.342128;-4.340246;];],False,False,True,False,False,False,157.60000610351562,5360314641165666338,16331527708511559303,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342620;-4.341583;];[15.342724;-4.341820;];],False,False,True,False,False,False,28.700000762939453,7978271761483077037,14406339823649883896,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342724;-4.341820;];[15.342620;-4.341583;];],False,False,True,False,False,False,28.700000762939453,14406339823649883896,7978271761483077037,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342724;-4.341820;];[15.342795;-4.342000;];],False,False,True,False,False,False,21.299999237060547,126526430015538780,2996891673519167465,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342795;-4.342000;];[15.342724;-4.341820;];],False,False,True,False,False,False,21.299999237060547,2996891673519167465,126526430015538780,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.342795;-4.342000;];[15.343304;-4.343386;];],False,False,True,False,False,False,163.39999389648438,12545402664093571446,1381553900784140721,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.343304;-4.343386;];[15.342795;-4.342000;];],False,False,True,False,False,False,163.39999389648438,1381553900784140721,12545402664093571446,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.343304;-4.343386;];[15.343722;-4.344528;];],False,False,True,False,False,False,134.5,4250299524046751581,3643643742882511004,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.343722;-4.344528;];[15.343304;-4.343386;];],False,False,True,False,False,False,134.5,3643643742882511004,4250299524046751581,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.343722;-4.344528;];[15.343834;-4.344828;];],False,False,True,False,False,False,35.400001525878906,1635803346019357008,10398224601991051092,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.343834;-4.344828;];[15.343722;-4.344528;];],False,False,True,False,False,False,35.400001525878906,10398224601991051092,1635803346019357008,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.343834;-4.344828;];[15.344079;-4.345488;];],False,False,True,False,False,False,77.9000015258789,15384299919766086650,6934633713653734811,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.344079;-4.345488;];[15.343834;-4.344828;];],False,False,True,False,False,False,77.9000015258789,6934633713653734811,15384299919766086650,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.344079;-4.345488;];[15.344476;-4.346528;];],False,False,True,False,False,False,123.1999969482422,9759540366239615099,10948202905517931384,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.344476;-4.346528;];[15.344079;-4.345488;];],False,False,True,False,False,False,123.1999969482422,10948202905517931384,9759540366239615099,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.344476;-4.346528;];[15.344846;-4.347448;];],False,False,True,False,False,False,109.6999969482422,12579440052099767118,4432740571585343064,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.344846;-4.347448;];[15.344476;-4.346528;];],False,False,True,False,False,False,109.6999969482422,4432740571585343064,12579440052099767118,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.344846;-4.347448;];[15.345221;-4.348452;];],False,False,True,False,False,False,118.5,434203862909262209,15733838836966592650,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.345221;-4.348452;];[15.344846;-4.347448;];],False,False,True,False,False,False,118.5,15733838836966592650,434203862909262209,1,,Road,Africa/Kinshasa,,False
False,3,CD,NamedRoad,False,False,False,False,[[15.345221;-4.348452;];[15.345688;-4.349706;];[15.345926;-4.350329;];],False,False,True,False,False,False,221.8000030517578,5720716473036379598,11391068672757377545,2,,Road,Africa/Kinshasa,,False
